energy,heating,price,area,rooms,fee,zipcode,construction_year,price_per_area,heating_raw,house_age,rooms_per_area,heating_clean_fußbodenheizung,heating_clean_minergie,heating_clean_missing,heating_clean_other,heating_clean_wärmepumpe,heating_clean_zentralheizung,energy_clean_gas,energy_clean_missing,energy_clean_other,energy_clean_öl,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_17,level_21,level_23,level_24,level_2023,log_price,log_area,log_fee,age_bin,rooms_per_area_bin,zipcode_freq
na,na,549000,62.0,2,3.57,10247,2015,8854.838709677419,na,10,0.03225806451612903,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.215855541983634,4.143134726391533,1.5195132049061133,new,1,0.027752081406105456
na,na,394000,100.04,3,3.57,10365,1900,3938.4246301479407,na,125,0.029988004798080767,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.884108726347916,4.6155164780422355,1.5195132049061133,,1,0.0027752081406105457
Öl,Zentralheizung,165000,38.0,1,3.57,14195,1970,4342.105263157895,Zentralheizung,55,0.02631578947368421,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.013706813470414,3.6635616461296463,1.5195132049061133,very_old,0,0.009944495837187789
Fernwärme,Zentralheizung,919000,110.93,4,3.57,10711,1911,8284.50374109799,Zentralheizung,114,0.03605877580456143,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.731042489476513,4.717873675901176,1.5195132049061133,,2,0.009481961147086031
Fernwärme,Zentralheizung,499000,62.08,2,3.57,10711,1911,8038.015463917526,Zentralheizung,114,0.03221649484536083,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.120363378739663,4.1444037620948375,1.5195132049061133,,1,0.009481961147086031
Fernwärme,Zentralheizung,439000,61.65,2,3.57,10711,1911,7120.8434712084345,Zentralheizung,114,0.032441200324412,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.992256969959042,4.137563681342077,1.5195132049061133,,1,0.009481961147086031
Gas,Etagenheizung,208000,42.4,1,3.57,13403,1956,4905.660377358491,Etagenheizung,69,0.02358490566037736,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.245298166364206,3.770459441106359,1.5195132049061133,very_old,0,0.010407030527289547
na,na,359000,90.11,3,3.57,10315,1920,3984.019531683498,na,105,0.033292642326045944,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.791080452981857,4.512067567725767,1.5195132049061133,,1,0.00393154486586494
na,na,486048,101.26,4,17.3,10713,1985,4800.0,na,40,0.03950227138060438,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.094064720845596,4.627518589651853,2.9069010598473755,old,3,0.009481961147086031
Gas,Etagenheizung,395000,62.16,2,3.57,10435,1895,6354.5688545688545,Etagenheizung,130,0.032175032175032175,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.886643575525625,4.145671189387441,1.5195132049061133,,1,0.006244218316373728
Gas,Zentralheizung,598000,90.76,3,3.57,10439,1956,6588.805641251653,Zentralheizung,69,0.03305420890260026,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.301347705172173,4.5191764728211155,1.5195132049061133,very_old,1,0.018501387604070305
Gas,Zentralheizung,595000,112.05,4,3.57,12555,2016,5310.129406514949,Zentralheizung,9,0.035698348951361,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.296318365198623,4.727830198723979,1.5195132049061133,new,2,0.011100832562442183
Gas,Zentralheizung,620000,95.76,3,3.57,10439,1908,6474.519632414369,Zentralheizung,117,0.03132832080200501,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.3374763699232,4.572233685741827,1.5195132049061133,,1,0.018501387604070305
Gas,Zentralheizung,499000,70.85,2,3.57,10439,1956,7043.048694424841,Zentralheizung,69,0.028228652081863093,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.120363378739663,4.274580612525034,1.5195132049061133,very_old,0,0.018501387604070305
